Type,Location Name,Coordinates,Production,Distance_km,Travel_Time_hours,Manufacturer
Batman Filming Location,"New York City, NY","40.7128° N, 74.0060° W",Batman Forever,0.0,0.0,
Batman Filming Location,"Baltimore, MD","39.2904° N, 76.6122° W",Gotham TV Series,272.55,0.36,
Batman Filming Location,"Chicago, Illinois, USA","41.8779° N, 87.6436° W",Multiple Batman films,1145.43,1.53,
Batman Filming Location,"Twin Anchors, Chicago","41.9226° N, 87.6362° W",The Dark Knight,1145.0,1.53,
Batman Filming Location,"Universal Studios, CA","34.1381° N, 118.3365° W",Batman Returns & Batman & Robin,3939.66,5.25,
Batman Filming Location,"Los Angeles, CA","34.0522° N, 118.2437° W",Batman Forever & Batman & Robin,3935.75,5.25,
Batman Filming Location,"Alcatraz Island, CA","37.8267° N, 122.4233° W",Batman Forever,4127.43,5.5,
Batman Filming Location,"Glasgow, Scotland","55.8643° N, 4.2545° W",The Batman 2022,5181.58,6.91,
Batman Filming Location,"Liverpool, UK - County Sessions House","53.4102° N, 2.9790° W",The Batman 2022,5324.58,7.1,
Batman Filming Location,"Liverpool, England","53.4084° N, 2.9916° W",The Batman 2022,5323.83,7.1,
Batman Filming Location,"Pinewood Studios, UK","51.5300° N, 0.7000° W",Batman 1989,5531.82,7.38,
Batman Filming Location,"Knebworth House, UK","51.9897° N, 0.2542° W",Batman 1989,5545.29,7.39,
Batman Filming Location,"Mentmore Towers, UK","51.6558° N, 0.3664° W",Batman Begins Wayne Manor,5549.41,7.4,
Supercar Factory,"McLaren Technology Centre, Woking, UK","51.3297° N, 0.5603° W",,5547.94,7.4,McLaren
Batman Filming Location,"Hatfield House, UK","51.7540° N, 0.2305° W",Batman 1989,5554.92,7.41,
Supercar Factory,"Koenigsegg Factory, Ängelholm, Sweden","56.5500° N, 13.0000° W",,6174.04,8.23,Koenigsegg
Supercar Factory,"Bugatti Factory, Molsheim, France","48.6333° N, 7.7500° W",,6210.3,8.28,Bugatti
Supercar Factory,"Porsche Factory, Zuffenhausen, Germany","48.7917° N, 9.1936° W",,6298.49,8.4,Porsche
Supercar Factory,"Audi Sport Factory, Neckarsulm, Germany","49.1408° N, 10.2725° W",,6352.39,8.47,Audi R8
Supercar Factory,"Ferrari Factory, Maranello, Italy","44.7577° N, 10.8474° W",,6616.01,8.82,Ferrari
Supercar Factory,"Lamborghini Factory, Sant'Agata Bolognese, Italy","44.6253° N, 11.2151° W",,6648.57,8.86,Lamborghini
