Type,Location Name,Latitude,Longitude,Coordinates,Info,Distance_km,Travel_Time_hours
Batman Filming Location,"New York City, NY",40.7128,-74.006,"40.7128° N, 74.0060° W",Batman Forever,0.0,0.0
Batman Filming Location,"Baltimore, MD",39.2904,-76.6122,"39.2904° N, 76.6122° W",Gotham TV Series,272.55,0.36
Batman Filming Location,"Chicago, Illinois, USA",41.877895,-87.643623,"41.8779° N, 87.6436° W",Multiple Batman films,1145.43,1.53
Batman Filming Location,"Twin Anchors, Chicago",41.9226,-87.6362,"41.9226° N, 87.6362° W",The Dark Knight,1145.0,1.53
Batman Filming Location,"Universal Studios, CA",34.1381,-118.3365,"34.1381° N, 118.3365° W",Batman Returns & Batman & Robin,3939.66,5.25
Batman Filming Location,"Los Angeles, CA",34.0522,-118.2437,"34.0522° N, 118.2437° W",Batman Forever & Batman & Robin,3935.75,5.25
Batman Filming Location,"Alcatraz Island, CA",37.8267,-122.4233,"37.8267° N, 122.4233° W",Batman Forever,4127.43,5.5
Batman Filming Location,"Glasgow, Scotland",55.864304,-4.25449,"55.8643° N, 4.2545° W",The Batman 2022,5181.58,6.91
Batman Filming Location,"Liverpool, UK - County Sessions House",53.410164,-2.979004,"53.4102° N, 2.9790° W",The Batman 2022,5324.58,7.1
Batman Filming Location,"Liverpool, England",53.408371,-2.991573,"53.4084° N, 2.9916° W",The Batman 2022,5323.83,7.1
Batman Filming Location,"Pinewood Studios, UK",51.53,-0.7,"51.5300° N, 0.7000° W",Batman 1989,5531.82,7.38
Batman Filming Location,"Knebworth House, UK",51.9897,-0.2542,"51.9897° N, 0.2542° W",Batman 1989,5545.29,7.39
Batman Filming Location,"Mentmore Towers, UK",51.6558,-0.3664,"51.6558° N, 0.3664° W",Batman Begins Wayne Manor,5549.41,7.4
Supercar Factory,"McLaren Technology Centre, Woking, UK",51.3297,-0.5603,"51.3297° N, 0.5603° W",McLaren,5547.94,7.4
Batman Filming Location,"Hatfield House, UK",51.754,-0.2305,"51.7540° N, 0.2305° W",Batman 1989,5554.92,7.41
Supercar Factory,"Koenigsegg Factory, Ängelholm, Sweden",56.55,13.0,"56.5500° N, 13.0000° E",Koenigsegg,6174.04,8.23
Supercar Factory,"Bugatti Factory, Molsheim, France",48.6333,7.75,"48.6333° N, 7.7500° E",Bugatti,6210.3,8.28
Supercar Factory,"Porsche Factory, Zuffenhausen, Germany",48.7917,9.1936,"48.7917° N, 9.1936° E",Porsche,6298.49,8.4
Supercar Factory,"Audi Sport Factory, Neckarsulm, Germany",49.1408,10.2725,"49.1408° N, 10.2725° E",Audi R8,6352.39,8.47
Supercar Factory,"Ferrari Factory, Maranello, Italy",44.7577,10.8474,"44.7577° N, 10.8474° E",Ferrari,6616.01,8.82
Supercar Factory,"Lamborghini Factory, Sant'Agata Bolognese, Italy",44.6253,11.2151,"44.6253° N, 11.2151° E",Lamborghini,6648.57,8.86
